amenities_id,amenities_description,amenities_score
392,"['Essentials', 'Heating', 'Kitchen', 'Washer', 'Wireless Internet']",37
393,"['Essentials', 'Heating', 'Internet', 'Kitchen', 'Wireless Internet']",36
394,"['Essentials', 'Heating', 'Kitchen', 'Shampoo', 'Wireless Internet']",35
395,"['Essentials', 'Heating', 'Kitchen', 'TV', 'Wireless Internet']",34
396,"['Dryer', 'Heating', 'Kitchen', 'Washer', 'Wireless Internet']",36
397,"['Dryer', 'Heating', 'Internet', 'Kitchen', 'Wireless Internet']",35
398,"['Dryer', 'Heating', 'Kitchen', 'Shampoo', 'Wireless Internet']",34
399,"['Dryer', 'Heating', 'Kitchen', 'TV', 'Wireless Internet']",33
400,"['Heating', 'Internet', 'Kitchen', 'Washer', 'Wireless Internet']",34
401,"['Heating', 'Kitchen', 'Shampoo', 'Washer', 'Wireless Internet']",33
402,"['Heating', 'Kitchen', 'TV', 'Washer', 'Wireless Internet']",32
403,"['Heating', 'Internet', 'Kitchen', 'Shampoo', 'Wireless Internet']",32
404,"['Heating', 'Internet', 'Kitchen', 'TV', 'Wireless Internet']",31
405,"['Heating', 'Kitchen', 'Shampoo', 'TV', 'Wireless Internet']",30
406,"['Dryer', 'Essentials', 'Heating', 'Smoke Detector', 'Wireless Internet']",37
407,"['Essentials', 'Heating', 'Smoke Detector', 'Washer', 'Wireless Internet']",36
408,"['Essentials', 'Heating', 'Internet', 'Smoke Detector', 'Wireless Internet']",35
409,"['Essentials', 'Heating', 'Shampoo', 'Smoke Detector', 'Wireless Internet']",34
410,"['Essentials', 'Heating', 'Smoke Detector', 'TV', 'Wireless Internet']",33
411,"['Dryer', 'Heating', 'Smoke Detector', 'Washer', 'Wireless Internet']",35
412,"['Dryer', 'Heating', 'Internet', 'Smoke Detector', 'Wireless Internet']",34
413,"['Dryer', 'Heating', 'Shampoo', 'Smoke Detector', 'Wireless Internet']",33
414,"['Dryer', 'Heating', 'Smoke Detector', 'TV', 'Wireless Internet']",32
415,"['Heating', 'Internet', 'Smoke Detector', 'Washer', 'Wireless Internet']",33
416,"['Heating', 'Shampoo', 'Smoke Detector', 'Washer', 'Wireless Internet']",32
417,"['Heating', 'Smoke Detector', 'TV', 'Washer', 'Wireless Internet']",31
418,"['Heating', 'Internet', 'Shampoo', 'Smoke Detector', 'Wireless Internet']",31
419,"['Heating', 'Internet', 'Smoke Detector', 'TV', 'Wireless Internet']",30
420,"['Heating', 'Shampoo', 'Smoke Detector', 'TV', 'Wireless Internet']",29
421,"['Dryer', 'Essentials', 'Heating', 'Washer', 'Wireless Internet']",34
422,"['Dryer', 'Essentials', 'Heating', 'Internet', 'Wireless Internet']",33
423,"['Dryer', 'Essentials', 'Heating', 'Shampoo', 'Wireless Internet']",32
424,"['Dryer', 'Essentials', 'Heating', 'TV', 'Wireless Internet']",31
425,"['Essentials', 'Heating', 'Internet', 'Washer', 'Wireless Internet']",32
426,"['Essentials', 'Heating', 'Shampoo', 'Washer', 'Wireless Internet']",31
427,"['Essentials', 'Heating', 'TV', 'Washer', 'Wireless Internet']",30
428,"['Essentials', 'Heating', 'Internet', 'Shampoo', 'Wireless Internet']",30
429,"['Essentials', 'Heating', 'Internet', 'TV', 'Wireless Internet']",29
430,"['Essentials', 'Heating', 'Shampoo', 'TV', 'Wireless Internet']",28
